"OBJECTID","LOWWELL","SPECIES"
22716,"None","Pyrus calleryana cvs"
22717,"None","Juglans h. californica"
22718,"None","Fraxinus sp"
22719,"None","Platanus acerifolia"
22720,"None","Liquidambar styraciflua"
22721,"None","Geijera parvifolia"
22722,"None","Acacia melanoxylon"
22723,"None","Morus alba"
22724,"None","Dead"
22725,"None","Populus fremonti"
22726,"None","Populus fremonti"
22727,"None","Schinus terebinthefolia"
22728,"None","Acer palmatum"
22729,"None","Pistacia chinensis"
22730,"None","Pistacia chinensis"
22731,"None","Geijera parvifolia"
22732,"Moderate","Shrub"
22733,"None","Acer sp"
22734,"None","Lagerstroemia indica"
22735,"None","Schinus terebinthefolia"
22736,"None","Fraxinus o. `Raywood'"
22737,"Moderate","Platanus acerifolia"
22738,"None","Callistemon sp"
22739,"None","Crataegus phaenopyrum"
22740,"Low","Platanus acerifolia"
22741,"None","Schinus terebinthefolia"
22742,"None","Liquidambar styraciflua"
22743,"Low","Liquidambar styraciflua"
22744,"Low","Liquidambar styraciflua"
22745,"None","Platanus racemosa"
22746,"None","Fraxinus o. `Raywood'"
22747,"None","Prunus cerasifera/blireiana"
22748,"None","Liquidambar styraciflua"
22749,"None","Fraxinus sp"
22750,"None","Other"
22751,"Low","Callistemon sp"
22752,"None","Cinnamomum camphora"
22753,"None","Crataegus phaenopyrum"
22754,"None","Platanus acerifolia"
22755,"None","Crataegus phaenopyrum"
22756,"None","Platanus acerifolia"
22757,"None","Platanus acerifolia"
22758,"None","Prunus cerasifera/blireiana"
22759,"Low","Liquidambar styraciflua"
22760,"None","Podocarpus gracilior"
22761,"High","Prunus cerasifera/blireiana"
22762,"None","Robinia pseudoacacia"
22763,"None","Celtis sp"
22764,"None","Lagerstroemia indica"
22765,"None","Crataegus sp"
22766,"None","Stump"
22767,"None","Pittosporum sp"
22768,"None","Liquidambar styraciflua"
22769,"None","Stump"
22770,"Low","Fraxinus o. `Raywood'"
22771,"None","Liquidambar styraciflua"
22772,"None","Pittosporum undulatum"
22773,"None","Lagerstroemia indica"
22774,"None","Pyrus calleryana cvs"
22775,"None","Pyrus calleryana cvs"
22776,"None","Eucalyptus sideroxylon Rosea"
22777,"Moderate","Pyrus calleryana cvs"
22778,"None","Platanus acerifolia"
22779,"None","Tristaniopsis laurina"
22780,"None","Platanus acerifolia"
22781,"None","Prunus cerasifera/blireiana"
22782,"None","Platanus acerifolia"
22783,"None","Platanus acerifolia"
22784,"High","Ligustrum lucidum"
22785,"None","Washingtonia filifera"
22786,"Low","Sapium sebiferum"
22787,"None","Pyrus calleryana cvs"
22788,"None","Podocarpus gracilior"
22789,"None","Cedrus sp"
22790,"None","Lagerstroemia indica"
22791,"None","Liquidambar styraciflua"
22792,"None","Liquidambar styraciflua"
22793,"None","Fraxinus o. `Raywood'"
22794,"None","Liquidambar styraciflua"
22795,"None","Cupressus sempervirens"
22796,"Moderate","Geijera parvifolia"
22797,"None","Lagerstroemia indica"
22798,"None","Unknown"
22799,"None","Liquidambar styraciflua"
22800,"None","Liquidambar styraciflua"
22801,"None","Celtis sp"
22802,"None","Pyrus calleryana cvs"
22803,"None","Podocarpus gracilior"
22804,"None","Platanus acerifolia"
22805,"None","Platanus acerifolia"
22806,"Moderate","Jacaranda acutifolia"
22807,"None","Liquidambar styraciflua"
22808,"None","Lagerstroemia indica"
22809,"None","Liquidambar styraciflua"
22810,"High","Liquidambar styraciflua"
22811,"None","Liquidambar styraciflua"
22812,"None","Lagerstroemia indica"
22813,"None","Magnolia grandiflora"
22814,"Moderate","Fraxinus o. `Raywood'"
22815,"None","Shrub"
22816,"None","Prunus cerasifera/blireiana"
22817,"Moderate","Celtis sp"
22818,"None","Ulmus americana"
22819,"None","Podocarpus gracilior"
22820,"None","Magnolia grandiflora"
22821,"None","Liquidambar styraciflua"
22822,"None","Celtis sp"
22823,"None","Crataegus phaenopyrum"
22824,"None","Prunus cerasifera/blireiana"
22825,"None","Podocarpus gracilior"
22826,"None","Acer palmatum"
22827,"None","Magnolia grandiflora"
22828,"None","Pinus thunbergiana"
22829,"None","Platanus acerifolia"
22830,"Low","Fraxinus o. `Raywood'"
22831,"None","Crataegus phaenopyrum"
22832,"None","Liquidambar styraciflua"
22833,"None","Podocarpus gracilior"
22834,"None","Lagerstroemia indica"
22835,"None","Pyrus calleryana cvs"
22836,"None","Pyrus calleryana cvs"
22837,"None","Platanus acerifolia"
22838,"None","Liquidambar styraciflua"
22839,"None","Podocarpus gracilior"
22840,"Low","Pyrus calleryana cvs"
22841,"None","Albizia julibrissin"
22842,"None","Pyrus calleryana cvs"
22843,"None","Platanus acerifolia"
22844,"None","Magnolia grandiflora"
22845,"Low","Fraxinus o. `Raywood'"
22846,"None","Pittosporum undulatum"
22847,"None","Crataegus phaenopyrum"
22848,"None","Fraxinus o. `Raywood'"
22849,"Low","Fraxinus o. `Raywood'"
22850,"Moderate","Platanus acerifolia"
22851,"Low","Platanus acerifolia"
22852,"None","Washingtonia robusta"
22853,"None","Liquidambar styraciflua"
22854,"None","Platanus acerifolia"
22855,"Moderate","Eucalyptus sideroxylon Rosea"
22856,"Moderate","Prunus cerasifera/blireiana"
22857,"None","Cinnamomum camphora"
22858,"Low","Liquidambar styraciflua"
22859,"Low","Liquidambar styraciflua"
22860,"None","Dead"
22861,"None","Laurus nobilis `Saratoga'"
22862,"None","Pyrus calleryana cvs"
22863,"None","Acer sp"
22864,"Low","Fraxinus o. `Raywood'"
22865,"None","Magnolia grandiflora"
22866,"Low","Platanus acerifolia"
22867,"Low","Eucalyptus sideroxylon Rosea"
22868,"None","Liquidambar styraciflua"
22869,"None","Lagerstroemia indica"
22870,"None","Platanus acerifolia"
22871,"Low","Pyrus calleryana cvs"
22872,"Moderate","Liquidambar styraciflua"
22873,"Moderate","Dead"
22874,"None","Podocarpus gracilior"
22875,"Moderate","Acer rubrum"
22876,"Moderate","Cupressus sempervirens"
22877,"None","Jacaranda acutifolia"
22878,"None","Liquidambar styraciflua"
22879,"None","Liquidambar styraciflua"
22880,"None","Platanus acerifolia"
22881,"None","Pyrus kawakami"
22882,"None","Platanus acerifolia"
22883,"None","Liquidambar styraciflua"
22884,"Moderate","Pyrus calleryana cvs"
22885,"Moderate","Celtis sp"
22886,"None","Betula pendula"
22887,"Low","Prunus cerasifera/blireiana"
22888,"None","Platanus acerifolia"
22889,"None","Platanus acerifolia"
22890,"None","Fraxinus o. `Raywood'"
22891,"None","Metrosideros excelsus"
22892,"None","Liquidambar styraciflua"
22893,"None","Liquidambar styraciflua"
22894,"None","Jacaranda acutifolia"
22895,"None","Ulmus parvifolia"
22896,"None","Ficus benjamina"
22897,"None","Prunus cerasifera/blireiana"
22898,"Moderate","Platanus acerifolia"
22899,"Low","Prunus cerasifera/blireiana"
22900,"None","Metrosideros excelsus"
22901,"Low","Prunus cerasifera/blireiana"
22902,"Low","Geijera parvifolia"
22903,"None","Cupressus sempervirens"
22904,"None","Liriodendron tulipifera"
22905,"None","Other"
22906,"None","Yucca gloriosa"
22907,"Low","Pyrus calleryana cvs"
22908,"Low","Citrus sp"
22909,"Moderate","Sapium sebiferum"
22910,"None","Pyrus kawakami"
22911,"None","Eriobotrya japonica"
22912,"None","Crataegus phaenopyrum"
22913,"None","Malus sp"
22914,"Low","Crataegus phaenopyrum"
22915,"None","Cedrus sp"
22916,"None","Lagerstroemia indica"
22917,"Moderate","Fraxinus o. `Raywood'"
22918,"Moderate","Fraxinus o. `Raywood'"
22919,"Moderate","Liquidambar styraciflua"
22920,"None","Other"
22921,"Low","Prunus cerasifera/blireiana"
22922,"None","Prunus sp"
22923,"Moderate","Fraxinus o. `Raywood'"
22924,"Moderate","Fraxinus o. `Raywood'"
22925,"Moderate","Jacaranda acutifolia"
22926,"Low","Prunus cerasifera/blireiana"
22927,"None","Liquidambar styraciflua"
22928,"None","Magnolia grandiflora"
22929,"None","Prunus cerasifera/blireiana"
22930,"None","Magnolia grandiflora"
22931,"Moderate","Platanus acerifolia"
22932,"None","Liquidambar styraciflua"
22933,"Low","Fraxinus o. `Raywood'"
22934,"None","Liquidambar styraciflua"
22935,"None","Geijera parvifolia"
22936,"None","Platanus acerifolia"
22937,"None","Jacaranda acutifolia"
22938,"None","Callistemon sp"
22939,"None","Prunus cerasifera/blireiana"
22940,"Low","Eriobotrya japonica"
22941,"None","Prunus caroliniana"
22942,"None","Liquidambar styraciflua"
22943,"None","Yucca gloriosa"
22944,"Low","Celtis sp"
22945,"None","Other"
22946,"Moderate","Fraxinus o. `Raywood'"
22947,"None","Laurus nobilis"
22948,"Low","Acer rubrum"
22949,"Low","Pyrus calleryana cvs"
22950,"None","Betula pendula"
22951,"None","Other"
22952,"Low","Platanus acerifolia"
22953,"None","Cinnamomum camphora"
22954,"None","Cedrus sp"
22955,"Low","Melaleuca linarifolia"
22956,"None","Alnus rhombifolia"
22957,"Low","Cupressus sempervirens"
22958,"Moderate","Platanus acerifolia"
22959,"Moderate","Platanus acerifolia"
22960,"None","Magnolia grandiflora"
22961,"Low","Pyrus calleryana cvs"
22962,"None","Unknown"
22963,"None","Michelia doltsopa"
22964,"None","Prunus cerasifera/blireiana"
22965,"Low","Schinus terebinthefolia"
22966,"None","Prunus cerasifera/blireiana"
22967,"None","Magnolia grandiflora"
22968,"Low","Platanus acerifolia"
22969,"None","Platanus acerifolia"
22970,"None","Geijera parvifolia"
22971,"Low","Juniperus sp"
22972,"None","Pinus radiata"
22973,"Low","Washingtonia robusta"
22974,"Moderate","Ceratonia siliqua"
22975,"None","Platanus acerifolia"
22976,"None","Pyrus kawakami"
22977,"None","Prunus cerasifera/blireiana"
22978,"None","Citrus sp"
22979,"None","Shrub"
22980,"None","Prunus cerasifera/blireiana"
22981,"Moderate","Platanus acerifolia"
22982,"None","Lagerstroemia indica"
22983,"Low","Platanus acerifolia"
22984,"None","Pyrus kawakami"
22985,"None","Prunus cerasifera/blireiana"
22986,"None","Juglans h. californica"
22987,"None","Calocedrus decurrens"
22988,"None","Prunus cerasifera/blireiana"
22989,"None","Magnolia grandiflora"
22990,"Moderate","Prunus cerasifera/blireiana"
22991,"None","Platanus acerifolia"
22992,"Low","Prunus cerasifera/blireiana"
22993,"None","Ulmus parvifolia"
22994,"None","Ceratonia siliqua"
22995,"None","Tristaniopsis laurina"
22996,"None","Koelreuteria sp"
22997,"None","Fraxinus o. `Raywood'"
22998,"None","Acer sp"
22999,"None","Melaleuca sp"
23000,"None","Lagerstroemia indica"
23001,"None","Salix babylonica"
23002,"None","Betula pendula"
23003,"None","Betula sp"
23004,"None","Washingtonia robusta"
23005,"None","Liquidambar styraciflua"
23006,"Low","Pyrus calleryana cvs"
23007,"None","Salix babylonica"
23008,"None","Acer sp"
23009,"None","Maytenus boaria"
23010,"None","Melaleuca linarifolia"
23011,"None","Juglans h. californica"
23012,"None","Platanus acerifolia"
23013,"None","Platanus acerifolia"
23014,"None","Jacaranda acutifolia"
23015,"None","Pyrus calleryana cvs"
23016,"None","Cupressus sempervirens"
23017,"None","Robinia hybrid"
23018,"None","Celtis sp"
23019,"None","Prunus cerasifera/blireiana"
23020,"None","Lagerstroemia indica"
23021,"None","Melaleuca sp"
23022,"None","Pyrus calleryana cvs"
23023,"None","Robinia hybrid"
23024,"None","Liquidambar styraciflua"
23025,"Low","Pyrus calleryana cvs"
23026,"None","Magnolia grandiflora"
23027,"Moderate","Prunus sp"
23028,"None","Prunus cerasifera/blireiana"
23029,"None","Ligustrum lucidum"
23030,"None","Pyrus kawakami"
23031,"None","Other"
23032,"None","Betula pendula"
23033,"None","Schinus terebinthefolia"
23034,"None","Liquidambar styraciflua"
23035,"None","Prunus cerasifera/blireiana"
23036,"None","Liquidambar styraciflua"
23037,"None","Pittosporum undulatum"
23038,"None","Ulmus parvifolia"
23039,"None","Fraxinus o. `Raywood'"
23040,"None","Sophora japonica"
23041,"None","Pistacia chinensis"
23042,"None","Fraxinus o. `Raywood'"
23043,"Low","Melaleuca sp"
23044,"None","Pyrus calleryana cvs"
23045,"High","Jacaranda acutifolia"
23046,"High","Eucalyptus ficifolia"
23047,"None","Sophora japonica"
23048,"None","Cinnamomum camphora"
23049,"None","Cinnamomum camphora"
23050,"None","Syzygium paniculatum"
23051,"None","Robinia pseudoacacia"
23052,"None","Syagrus romanzoffianum"
23053,"None","Prunus cerasifera/blireiana"
23054,"None","Cinnamomum camphora"
23055,"None","Liquidambar styraciflua"
23056,"None","Pittosporum undulatum"
23057,"None","Cedrus deodara"
23058,"None","Sequoia sempervirens"
23059,"None","Lagerstroemia indica"
23060,"None","Lagerstroemia indica"
23061,"None","Pyrus kawakami"
23062,"Low","Fraxinus o. `Raywood'"
23063,"None","Jacaranda acutifolia"
23064,"None","Sophora japonica"
23065,"None","Cupressus sempervirens"
23066,"None","Pyrus kawakami"
23067,"None","Persea sp / avocado"
23068,"None","Platanus acerifolia"
23069,"None","Lagerstroemia indica"
23070,"Moderate","Platanus acerifolia"
23071,"None","Pistacia chinensis"
23072,"None","Platanus acerifolia"
23073,"None","Magnolia grandiflora"
23074,"None","Pyrus kawakami"
23075,"None","Pyrus kawakami"
23076,"None","Dead"
23077,"Moderate","Pyrus calleryana cvs"
23078,"None","Pittosporum undulatum"
23079,"None","Sapium sebiferum"
23080,"None","Platanus acerifolia"
23081,"None","Platanus acerifolia"
23082,"None","Robinia hybrid"
23083,"None","Magnolia grandiflora"
23084,"None","Pyrus kawakami"
23085,"None","Trachycarpus fortunei"
23086,"None","Grevillea robusta"
23087,"None","Magnolia grandiflora"
23088,"None","Schinus terebinthefolia"
23089,"None","Magnolia grandiflora"
23090,"None","Cupressus sempervirens"
23091,"None","Pyrus kawakami"
23092,"None","Pyrus kawakami"
23093,"None","Yucca gloriosa"
23094,"None","Geijera parvifolia"
23095,"Low","Melaleuca sp"
23096,"None","Pyrus calleryana cvs"
23097,"None","Magnolia grandiflora"
23098,"None","Platanus acerifolia"
23099,"None","Stump"
23100,"None","Pyrus calleryana cvs"
23101,"None","Pyrus calleryana cvs"
23102,"None","Cinnamomum camphora"
23103,"None","Cinnamomum camphora"
23104,"None","Pistacia chinensis"
23105,"None","Lagerstroemia indica"
23106,"None","Pyrus calleryana cvs"
23107,"None","Platanus acerifolia"
23108,"None","Platanus acerifolia"
23109,"None","Pyrus calleryana cvs"
23110,"None","Robinia hybrid"
23111,"None","Pyrus calleryana cvs"
23112,"None","Pistacia chinensis"
23113,"None","Liquidambar styraciflua"
23114,"None","Cinnamomum camphora"
23115,"None","Pyrus kawakami"
23116,"None","Pyrus kawakami"
23117,"None","Araucaria sp"
23118,"Low","Other"
23119,"None","Sophora japonica"
23120,"None","Yucca gloriosa"
23121,"None","Jacaranda acutifolia"
23122,"Low","Magnolia grandiflora"
23123,"None","Magnolia grandiflora"
23124,"None","Platanus acerifolia"
23125,"None","Pyrus calleryana cvs"
23126,"None","Prunus sp"
23127,"None","Pistacia chinensis"
23128,"None","Sophora japonica"
23129,"None","Crataegus phaenopyrum"
23130,"None","Liquidambar styraciflua"
23131,"None","Liquidambar styraciflua"
23132,"None","Pyrus kawakami"
23133,"None","Sophora japonica"
23134,"None","Photinia serrulata"
23135,"None","Ulmus parvifolia"
23136,"None","Pyrus calleryana cvs"
23137,"Low","Magnolia grandiflora"
23138,"None","Pyrus kawakami"
23139,"Moderate","Platanus acerifolia"
23140,"High","Platanus acerifolia"
23141,"Low","Magnolia grandiflora"
23142,"High","Cinnamomum camphora"
23143,"None","Lagerstroemia indica"
23144,"None","Pyrus calleryana cvs"
23145,"Low","Fraxinus o. `Raywood'"
23146,"None","Ulmus parvifolia"
23147,"None","Pyrus kawakami"
23148,"Moderate","Pyrus calleryana cvs"
23149,"None","Shrub"
23150,"None","Magnolia grandiflora"
23151,"None","Robinia hybrid"
23152,"Moderate","Geijera parvifolia"
23153,"Low","Fraxinus o. `Raywood'"
23154,"Low","Other"
23155,"Low","Other"
23156,"None","Podocarpus gracilior"
23157,"None","Ulmus americana"
23158,"High","Jacaranda acutifolia"
23159,"None","Sophora japonica"
23160,"None","Pyrus kawakami"
23161,"None","Ulmus parvifolia"
23162,"Moderate","Sophora japonica"
23163,"None","Sophora japonica"
23164,"None","Syagrus romanzoffianum"
23165,"None","Platanus acerifolia"
23166,"None","Prunus cerasifera/blireiana"
23167,"None","Ulmus parvifolia"
23168,"None","Ulmus parvifolia"
23169,"None","Liquidambar styraciflua"
23170,"None","Prunus cerasifera/blireiana"
23171,"None","Prunus cerasifera/blireiana"
23172,"None","Prunus cerasifera/blireiana"
23173,"None","Pyrus calleryana cvs"
23174,"Low","Magnolia grandiflora"
23175,"None","Magnolia grandiflora"
23176,"None","Pyrus kawakami"
23177,"None","Robinia hybrid"
23178,"None","Acer palmatum"
23179,"None","Cupressus sempervirens"
23180,"None","Prunus cerasifera/blireiana"
23181,"None","Pyrus calleryana cvs"
23182,"None","Pyrus kawakami"
23183,"None","Koelreuteria sp"
23184,"None","Ligustrum japonicum"
23185,"None","Callistemon sp"
23186,"None","Myoporum laetum"
23187,"Low","Fraxinus o. `Raywood'"
23188,"None","Sophora japonica"
23189,"None","Prunus cerasifera/blireiana"
23190,"None","Prunus cerasifera/blireiana"
23191,"None","Acer sp"
23192,"None","Prunus cerasifera/blireiana"
23193,"Low","Fraxinus o. `Raywood'"
23194,"None","Fraxinus o. `Raywood'"
23195,"Low","Sophora japonica"
23196,"Low","Liquidambar styraciflua"
23197,"None","Liquidambar styraciflua"
23198,"None","Fraxinus sp"
23199,"None","Prunus cerasifera/blireiana"
23200,"None","Acacia baileyana"
23201,"None","Sophora japonica"
23202,"Low","Fraxinus o. `Raywood'"
23203,"High","Fraxinus o. `Raywood'"
23204,"None","Dead"
23205,"None","Liquidambar styraciflua"
23206,"None","Robinia hybrid"
23207,"None","Pyrus calleryana cvs"
23208,"None","Liquidambar styraciflua"
23209,"None","Shrub"
23210,"None","Stump"
23211,"None","Albizia julibrissin"
23212,"High","Fraxinus o. `Raywood'"
23213,"None","Acer buergeranum"
23214,"None","Pyrus kawakami"
23215,"None","Robinia hybrid"
23216,"None","Crataegus phaenopyrum"
23217,"None","Ginkgo biloba"
23218,"None","Prunus cerasifera/blireiana"
23219,"None","Koelreuteria sp"
23220,"None","Cinnamomum camphora"
23221,"None","Liquidambar styraciflua"
23222,"None","Liquidambar styraciflua"
23223,"None","Callistemon sp"
23224,"None","Prunus sp"
23225,"None","Liquidambar styraciflua"
23226,"High","Prunus cerasifera/blireiana"
23227,"None","Malus sp"
23228,"None","Unknown"
23229,"None","Liquidambar styraciflua"
23230,"None","Acer sp"
23231,"None","Acer sp"
23232,"None","Unknown"
23233,"None","Liquidambar styraciflua"
23234,"None","Acacia baileyana"
23235,"Moderate","Liquidambar styraciflua"
23236,"None","Liquidambar styraciflua"
23237,"None","Cercis sp"
23238,"None","Cupressus sempervirens"
23239,"None","Other"
23240,"None","Prunus cerasifera/blireiana"
23241,"None","Ulmus americana"
23242,"None","Prunus cerasifera/blireiana"
23243,"Low","Liquidambar styraciflua"
23244,"None","Platanus acerifolia"
23245,"None","Prunus cerasifera/blireiana"
23246,"None","Liquidambar styraciflua"
23247,"Low","Liquidambar styraciflua"
23248,"None","Prunus cerasifera/blireiana"
23249,"None","Magnolia grandiflora"
23250,"None","Unknown"
23251,"None","Shrub"
23252,"None","Pistacia chinensis"
23253,"None","Prunus cerasifera/blireiana"
23254,"None","Unknown"
23255,"None","Platanus acerifolia"
23256,"Moderate","Platanus acerifolia"
23257,"None","Quercus sp"
23258,"None","Platanus acerifolia"
23259,"None","Platanus acerifolia"
23260,"None","Unknown"
23261,"None","Unknown"
23262,"None","Unknown"
23263,"None","Cordyline australis"
23264,"None","Malus floribunda"
23265,"None","Unknown"
23266,"None","Platanus acerifolia"
23267,"None","Pistacia chinensis"
23268,"None","Shrub"
23269,"None","Prunus serrulata"
23270,"None","Prunus cerasifera/blireiana"
23271,"None","Platanus acerifolia"
23272,"None","Prunus serrulata"
23273,"None","Liquidambar styraciflua"
23274,"None","Other"
23275,"None","Liquidambar styraciflua"
23276,"Moderate","Lagerstroemia indica"
23277,"None","Acer sp"
23278,"None","Fraxinus sp"
23279,"None","Jacaranda acutifolia"
23280,"None","Palm sp"
23281,"None","Platanus acerifolia"
23282,"None","Liquidambar styraciflua"
23283,"None","Platanus acerifolia"
23284,"None","Prunus cerasifera/blireiana"
23285,"None","Liquidambar styraciflua"
23286,"None","Prunus cerasifera/blireiana"
23287,"None","Platanus acerifolia"
23288,"None","Lagerstroemia indica"
23289,"None","Unknown"
23290,"Low","Malus floribunda"
23291,"None","Prunus cerasifera/blireiana"
23292,"None","Prunus cerasifera/blireiana"
23293,"None","Prunus cerasifera/blireiana"
23294,"None","Cupressus sempervirens"
23295,"None","Betula sp"
23296,"None","Casuarina sp"
23297,"None","Acer sp"
23298,"None","Dead"
23299,"None","Unknown"
23300,"None","Unknown"
23301,"None","Platanus acerifolia"
23302,"None","Prunus cerasifera/blireiana"
23303,"None","Dead"
23304,"None","Liquidambar styraciflua"
23305,"None","Cercis sp"
23306,"None","Pyrus kawakami"
23307,"None","Nyssa sylvatica"
23308,"None","Platanus acerifolia"
23309,"None","Unknown"
23310,"None","Platanus acerifolia"
23311,"None","Acer sp"
23312,"Moderate","Lagerstroemia indica"
23313,"None","Pyrus calleryana cvs"
23314,"None","Acer palmatum"
23315,"None","Crataegus sp"
23316,"None","Shrub"
23317,"None","Unknown"
23318,"None","Platanus acerifolia"
23319,"None","Quercus sp"
23320,"Moderate","Quercus sp"
23321,"Moderate","Ulmus americana"
23322,"Moderate","Prunus cerasifera/blireiana"
23323,"None","Liquidambar styraciflua"
23324,"None","Unknown"
23325,"None","Cinnamomum camphora"
23326,"None","Sapium sebiferum"
23327,"None","Platanus acerifolia"
23328,"Low","Crataegus phaenopyrum"
23329,"None","Unknown"
23330,"None","Cinnamomum camphora"
23331,"None","Lagerstroemia indica"
23332,"Low","Other"
23333,"None","Other"
23334,"None","Other"
23335,"None","Liquidambar styraciflua"
23336,"Low","Morus alba"
23337,"None","Other"
23338,"None","Pyrus kawakami"
23339,"None","Acer palmatum"
23340,"None","Unknown"
23341,"None","Crataegus phaenopyrum"
23342,"None","Acer sp"
23343,"None","Cercis sp"
23344,"Low","Pyrus kawakami"
23345,"None","Quercus palustris"
23346,"None","Liquidambar styraciflua"
23347,"None","Unknown"
23348,"None","Magnolia grandiflora"
23349,"None","Crataegus sp"
23350,"None","Nyssa sylvatica"
23351,"None","Liquidambar styraciflua"
23352,"None","Platanus acerifolia"
23353,"None","Platanus acerifolia"
23354,"None","Shrub"
23355,"None","Crataegus sp"
23356,"Moderate","Dead"
23357,"None","Platanus acerifolia"
23358,"None","Platanus acerifolia"
23359,"None","Liquidambar styraciflua"
23360,"None","Liquidambar styraciflua"
23361,"None","Unknown"
23362,"None","Cordyline australis"
23363,"Low","Pyrus calleryana cvs"
23364,"None","Other"
23365,"None","Unknown"
23366,"None","Fraxinus o. `Raywood'"
23367,"None","Cinnamomum camphora"
23368,"None","Liquidambar styraciflua"
23369,"None","Eriobotrya japonica"
23370,"None","Pyrus kawakami"
23371,"None","Nyssa sylvatica"
23372,"None","Prunus cerasifera/blireiana"
23373,"High","Pyrus calleryana cvs"
23374,"None","Crataegus phaenopyrum"
23375,"None","Pyrus kawakami"
23376,"None","Other"
23377,"None","Unknown"
23378,"None","Liquidambar styraciflua"
23379,"None","Cinnamomum camphora"
23380,"Moderate","Maytenus boaria"
23381,"Low","Crataegus sp"
23382,"None","Liquidambar styraciflua"
23383,"Low","Shrub"
23384,"None","Platanus acerifolia"
23385,"None","Crataegus phaenopyrum"
23386,"None","Other"
23387,"High","Liquidambar styraciflua"
23388,"Moderate","Prunus serrulata"
23389,"None","Unknown"
23390,"None","Magnolia grandiflora"
23391,"Moderate","Crataegus sp"
23392,"None","Acer palmatum"
23393,"None","Acer macrophyllum"
23394,"None","Pyrus kawakami"
23395,"None","Betula sp"
23396,"None","Lagerstroemia indica"
23397,"None","Eucalyptus ficifolia"
23398,"Low","Agonis flexuosa"
23399,"None","Crataegus sp"
23400,"None","Liquidambar styraciflua"
23401,"None","Liquidambar styraciflua"
23402,"None","Liquidambar styraciflua"
23403,"None","Liquidambar styraciflua"
23404,"Moderate","Pyrus kawakami"
23405,"None","Acer sp"
23406,"None","Unknown"
23407,"None","Crataegus phaenopyrum"
23408,"None","Acacia sp"
23409,"None","Other"
23410,"None","Pyrus calleryana cvs"
23411,"None","Acer macrophyllum"
23412,"None","Acer sp"
23413,"None","Betula sp"
23414,"None","Pyrus kawakami"
23415,"High","Prunus cerasifera/blireiana"
23416,"None","Prunus sp"
23417,"None","Arbutus sp"
23418,"None","Platanus acerifolia"
23419,"None","Liquidambar styraciflua"
23420,"None","Pyrus kawakami"
23421,"None","Liquidambar styraciflua"
23422,"None","Liquidambar styraciflua"
23423,"None","Liquidambar styraciflua"
23424,"None","Nyssa sylvatica"
23425,"Moderate","Unknown"
23426,"Moderate","Liquidambar styraciflua"
23427,"None","Malus sp"
23428,"None","Crataegus sp"
23429,"None","Prunus cerasifera/blireiana"
23430,"None","Unknown"
23431,"Low","Crataegus sp"
23432,"None","Platanus acerifolia"
23433,"None","Pyrus calleryana cvs"
23434,"None","Liquidambar styraciflua"
23435,"None","Cupressus sp"
23436,"None","Unknown"
23437,"None","Platanus acerifolia"
23438,"None","Liquidambar styraciflua"
23439,"None","Liquidambar styraciflua"
23440,"None","Platanus acerifolia"
23441,"None","Shrub"
23442,"None","Celtis sp"
23443,"None","Acer sp"
23444,"None","Unknown"
23445,"None","Pyrus kawakami"
23446,"None","Liquidambar styraciflua"
23447,"None","Liquidambar styraciflua"
23448,"None","Pistacia chinensis"
23449,"None","Other"
23450,"None","Cinnamomum camphora"
23451,"None","Lagerstroemia indica"
23452,"None","Jacaranda acutifolia"
23453,"None","Platanus acerifolia"
23454,"None","Other"
23455,"None","Malus floribunda"
23456,"None","Platanus acerifolia"
23457,"None","Platanus acerifolia"
23458,"None","Platanus acerifolia"
23459,"None","Cordyline australis"
23460,"None","Prunus cerasifera/blireiana"
23461,"None","Cornus sp"
23462,"None","Prunus sp"
23463,"None","Cordyline australis"
23464,"None","Liquidambar styraciflua"
23465,"None","Platanus acerifolia"
23466,"None","Crataegus sp"
23467,"None","Palm sp"
23468,"None","Shrub"
23469,"None","Fraxinus sp"
23470,"None","Schinus terebinthefolia"
23471,"None","Platanus acerifolia"
23472,"None","Platanus acerifolia"
23473,"None","Prunus cerasifera/blireiana"
23474,"None","Quercus sp"
23475,"None","Lagerstroemia indica"
23476,"None","Platanus acerifolia"
23477,"None","Platanus acerifolia"
23478,"None","Shrub"
23479,"None","Liquidambar styraciflua"
23480,"None","Acer rubrum"
23481,"None","Lagerstroemia indica"
23482,"None","Platanus acerifolia"
23483,"None","Betula sp"
23484,"None","Crataegus phaenopyrum"
23485,"Low","Liquidambar styraciflua"
23486,"None","Pyrus calleryana cvs"
23487,"None","Liquidambar styraciflua"
23488,"None","Pyrus calleryana cvs"
23489,"None","Quercus sp"
23490,"None","Lagerstroemia indica"
23491,"None","Prunus cerasifera/blireiana"
23492,"None","Lagerstroemia indica"
23493,"None","Quercus sp"
23494,"None","Liquidambar styraciflua"
23495,"None","Prunus cerasifera/blireiana"
23496,"None","Other"
23497,"None","Liquidambar styraciflua"
23498,"None","Shrub"
23499,"None","Lagerstroemia indica"
23500,"None","Grevillea robusta"
23501,"None","Quercus agrifolia"
23502,"None","Unknown"
23503,"None","Prunus cerasifera/blireiana"
23504,"None","Pyrus calleryana cvs"
23505,"None","Lagerstroemia indica"
23506,"None","Prunus laurocerasus"
23507,"None","Laurus nobilis"
23508,"None","Pyrus calleryana cvs"
23509,"None","Other"
23510,"None","Celtis sp"
